product_id,brand,category,subcategory,colour,size,received_date,expected_deliverables
P-100001,brand-a,footwear,sneaker,white,42,2026-04-20,8
P-100002,brand-a,footwear,sneaker,black,43,2026-04-20,8
P-100003,brand-b,footwear,boot,brown,41,2026-04-20,6
P-100004,brand-b,footwear,boot,brown,42,2026-04-20,6
P-100005,brand-c,apparel,t-shirt,grey,M,2026-04-20,4
P-100006,brand-c,apparel,t-shirt,grey,L,2026-04-20,4
P-100007,brand-c,apparel,t-shirt,navy,M,2026-04-20,4
P-100008,brand-d,apparel,jacket,olive,M,2026-04-21,7
P-100009,brand-d,apparel,jacket,olive,L,2026-04-21,7
P-100010,brand-e,accessories,bag,black,one-size,2026-04-21,5
P-100011,brand-e,accessories,bag,tan,one-size,2026-04-21,5
P-100012,brand-f,footwear,sandal,black,40,2026-04-21,6
P-100013,brand-f,footwear,sandal,black,41,2026-04-21,6
P-100014,brand-g,apparel,knitwear,cream,S,2026-04-22,5
P-100015,brand-g,apparel,knitwear,cream,M,2026-04-22,5
P-100016,brand-h,apparel,trousers,charcoal,30,2026-04-22,4
P-100017,brand-h,apparel,trousers,charcoal,32,2026-04-22,4
P-100018,brand-i,footwear,sneaker,off-white,44,2026-04-22,8
P-100019,brand-j,accessories,belt,black,90,2026-04-23,3
P-100020,brand-j,accessories,belt,brown,95,2026-04-23,3
